,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
Nothing But Trouble,77.0,73.0,76.0,56.0
What About Bob?,77.0,69.0,69.0,56.0
Naked Lunch,77.0,69.0,69.0,55.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,77.0,73.0,73.0,56.0
The Naked Gun 2½: The Smell of Fear,80.0,68.0,76.0,56.0
Double Impact,77.0,73.0,73.0,56.0
The Commitments,77.0,69.0,69.0,56.0
The Man in the Moon,77.0,69.0,69.0,55.0
The Double Life of Véronique,77.0,69.0,69.0,55.0
New Jack City,77.0,73.0,73.0,56.0
Toy Soldiers,77.0,73.0,73.0,56.0
The People Under the Stairs,77.0,73.0,76.0,56.0
Regarding Henry,77.0,73.0,76.0,56.0
Bugsy,78.0,76.0,65.0,56.0
Doc Hollywood,77.0,73.0,76.0,56.0
Delicatessen,77.0,69.0,69.0,56.0
Night on Earth,77.0,69.0,69.0,56.0
Child's Play 3,77.0,73.0,76.0,56.0
Freddy's Dead: The Final Nightmare,77.0,76.0,78.0,78.0
Oscar,77.0,73.0,76.0,56.0
The Lovers on the Bridge,77.0,69.0,69.0,55.0
Highlander II: The Quickening,77.0,76.0,72.0,75.0
Stone Cold,77.0,73.0,73.0,56.0
Wild Hearts Can't Be Broken,77.0,69.0,69.0,55.0
Showdown in Little Tokyo,77.0,73.0,73.0,56.0
Jungle Fever,77.0,73.0,76.0,56.0
Harley Davidson and the Marlboro Man,77.0,73.0,73.0,56.0
Not Without My Daughter,77.0,73.0,76.0,56.0
Defending Your Life,77.0,69.0,69.0,56.0
Flight of the Intruder,77.0,73.0,73.0,56.0
Problem Child 2,77.0,76.0,69.0,56.0
The Hard Way,77.0,73.0,73.0,56.0
Ricochet,77.0,73.0,73.0,56.0
L.A. Story,77.0,73.0,76.0,56.0
Rush,81.0,73.0,73.0,55.0
Dead Again,77.0,73.0,76.0,56.0
Out for Justice,77.0,73.0,73.0,56.0
Only Yesterday,77.0,67.0,68.0,46.0
The Indian Runner,77.0,69.0,69.0,55.0
An American Tail: Fievel Goes West,77.0,73.0,69.0,46.0
Life Stinks,77.0,73.0,76.0,56.0
Frankie and Johnny,77.0,73.0,76.0,56.0
Grand Canyon,77.0,73.0,76.0,56.0
Close My Eyes,77.0,73.0,76.0,56.0
Homicide,77.0,69.0,69.0,55.0
Soapdish,77.0,73.0,76.0,56.0
Curly Sue,77.0,73.0,76.0,56.0
The Rapture,77.0,73.0,76.0,56.0
Mannequin: on the Move,77.0,76.0,69.0,56.0
Rock-A-Doodle,77.0,73.0,69.0,46.0
Necessary Roughness,77.0,73.0,76.0,56.0
Cool as Ice,77.0,69.0,69.0,56.0
Wild Orchid II: Two Shades of Blue,77.0,76.0,78.0,78.0
Switch,77.0,73.0,76.0,56.0
White Fang,77.0,73.0,76.0,56.0
Until the End of the World,77.0,73.0,73.0,56.0
Only the Lonely,77.0,73.0,76.0,56.0
Dutch,77.0,73.0,76.0,56.0
Shattered,77.0,73.0,76.0,56.0
Raise the Red Lantern,78.0,69.0,69.0,51.0
Suburban Commando,77.0,76.0,72.0,75.0
Popcorn,77.0,73.0,76.0,56.0
Mobsters,77.0,73.0,76.0,56.0
Operation Condor,81.0,69.0,72.0,55.0
If Looks Could Kill,77.0,73.0,73.0,56.0
The Butcher's Wife,77.0,73.0,76.0,56.0
Dying Young,77.0,73.0,76.0,56.0
Dogfight,77.0,69.0,69.0,56.0
Whore,80.0,68.0,76.0,56.0
Hear My Song,77.0,69.0,69.0,56.0
Other People's Money,77.0,73.0,76.0,56.0
Delirious,77.0,73.0,76.0,56.0
Flirting,77.0,69.0,69.0,55.0
The Pit and the Pendulum,77.0,73.0,76.0,56.0
High Heels,77.0,69.0,69.0,56.0
Little Man Tate,77.0,73.0,76.0,56.0
Shadows and Fog,80.0,68.0,76.0,56.0
Shakes the Clown,77.0,73.0,70.0,56.0
Black Robe,77.0,69.0,69.0,55.0
Billy Bathgate,77.0,73.0,76.0,56.0
Europa,77.0,69.0,69.0,55.0
The Doctor,77.0,69.0,69.0,55.0
Kafka,77.0,73.0,76.0,56.0
Johnny Suede,77.0,73.0,76.0,56.0
Mystery Date,77.0,73.0,76.0,56.0
Ernest Scared Stupid,77.0,73.0,76.0,56.0
The Five Heartbeats,77.0,67.0,70.0,55.0
Mississippi Masala,77.0,73.0,76.0,56.0
The Marrying Man,77.0,73.0,76.0,56.0
"He Said, She Said",77.0,73.0,76.0,56.0
Poison,80.0,68.0,76.0,56.0
King Ralph,77.0,73.0,76.0,56.0
Enchanted April,77.0,69.0,69.0,55.0
Mediterraneo,77.0,69.0,69.0,56.0
House Party 2,77.0,73.0,76.0,56.0
Deceived,77.0,73.0,76.0,56.0
The Perfect Weapon,77.0,73.0,73.0,56.0
Class Action,77.0,73.0,76.0,56.0
Under Suspicion,77.0,73.0,76.0,56.0
Edward II,77.0,73.0,70.0,56.0
The Princess and the Goblin,77.0,73.0,69.0,46.0
Rambling Rose,77.0,73.0,76.0,56.0
Big Girls Don't Cry... They Get Even,77.0,73.0,76.0,56.0
K2,77.0,73.0,76.0,56.0
Prospero's Books,77.0,73.0,76.0,56.0
Pure Luck,77.0,73.0,76.0,56.0
F/X2,77.0,73.0,73.0,56.0
The Adjuster,77.0,73.0,76.0,56.0
Mortal Thoughts,77.0,73.0,76.0,56.0
Another You,77.0,73.0,76.0,56.0
For the Boys,77.0,73.0,76.0,56.0
Beastmaster 2: Through the Portal of Time,77.0,76.0,72.0,75.0
McBain,77.0,76.0,72.0,75.0
Eve of Destruction,77.0,76.0,72.0,75.0
A Rage in Harlem,77.0,73.0,76.0,56.0
Rhapsody in August,77.0,69.0,69.0,55.0
Kickboxer 2: the Road Back,77.0,76.0,72.0,75.0
V.I. Warshawski,77.0,76.0,72.0,75.0
The Super,77.0,73.0,76.0,56.0
Proof,77.0,73.0,76.0,55.0
At Play in the Fields of the Lord,77.0,73.0,76.0,56.0
True Colors,77.0,73.0,76.0,56.0
Impromptu,78.0,76.0,65.0,56.0
A Kiss Before Dying,77.0,73.0,76.0,56.0
Guilty by Suspicion,79.0,73.0,76.0,53.0
Scissors,79.0,73.0,76.0,53.0
Where Angels Fear to Tread,77.0,73.0,76.0,56.0
Tous les matins du monde,78.0,76.0,63.0,55.0
The Hitman,77.0,73.0,73.0,56.0
Bingo,77.0,76.0,78.0,78.0
Queens Logic,77.0,73.0,76.0,56.0
Body Parts,77.0,73.0,76.0,56.0
One Good Cop,77.0,73.0,72.0,55.0
Year of the Gun,77.0,73.0,73.0,56.0
Strictly Business,77.0,73.0,76.0,56.0
The Efficiency Expert,80.0,68.0,76.0,56.0
All I Want for Christmas,77.0,73.0,76.0,56.0
29th Street,77.0,69.0,69.0,56.0
Shout,77.0,73.0,76.0,56.0
Daughters of the Dust,77.0,73.0,76.0,56.0
Once Around,77.0,73.0,76.0,56.0
Sólo con tu pareja,77.0,73.0,76.0,56.0
The Taking of Beverly Hills,77.0,73.0,73.0,56.0
Run,77.0,73.0,73.0,56.0
Madame Bovary,77.0,73.0,76.0,56.0
Company Business,77.0,73.0,73.0,56.0
Talent for the Game,77.0,73.0,76.0,56.0
City of Hope,77.0,69.0,69.0,55.0
Riff-Raff,77.0,69.0,69.0,56.0
The Object of Beauty,77.0,73.0,76.0,56.0
Liebestraum,77.0,73.0,76.0,56.0
Voyager,77.0,73.0,76.0,58.0
Closet Land,77.0,69.0,69.0,55.0
Timebomb,77.0,73.0,73.0,56.0
Crooked Hearts,77.0,73.0,76.0,56.0
The Unborn,77.0,76.0,78.0,78.0
Van Gogh,78.0,76.0,63.0,55.0
Late for Dinner,77.0,73.0,76.0,56.0
Lovers: A True Story,81.0,69.0,72.0,55.0
Johnny Stecchino,77.0,69.0,69.0,56.0
Stepping Out,77.0,73.0,76.0,56.0
The Inner Circle,78.0,76.0,63.0,55.0
"Mon père, ce héros.",79.0,73.0,76.0,53.0
Defenseless,77.0,73.0,76.0,56.0
Reservoir Dogs,55.0,55.0,55.0,55.0
Basic Instinct,55.0,55.0,55.0,55.0
Candyman,77.0,73.0,76.0,56.0
My Cousin Vinny,56.0,56.0,56.0,56.0
The Last of the Mohicans,88.0,72.0,72.0,55.0
Dracula,55.0,55.0,55.0,55.0
Unforgiven,55.0,55.0,55.0,55.0
A Few Good Men,55.0,55.0,55.0,55.0
A League of Their Own,56.0,56.0,56.0,56.0
The Bodyguard,77.0,73.0,73.0,56.0
Scent of a Woman,55.0,55.0,55.0,55.0
Batman Returns,88.0,72.0,72.0,55.0
The Mighty Ducks,77.0,73.0,76.0,56.0
Aladdin,77.0,73.0,69.0,47.0
Sister Act,77.0,73.0,76.0,56.0
Alien 3,77.0,73.0,72.0,55.0
Death Becomes Her,77.0,73.0,76.0,56.0
Far and Away,77.0,73.0,76.0,56.0
The Crying Game,55.0,55.0,55.0,55.0
Howards End,55.0,55.0,55.0,55.0
Under Siege,77.0,73.0,73.0,56.0
Deep Cover,77.0,73.0,73.0,56.0
Single White Female,77.0,73.0,76.0,56.0
Cool World,63.0,76.0,68.0,45.0
Glengarry Glen Ross,55.0,55.0,55.0,55.0
Wayne's World,56.0,56.0,56.0,56.0
Army of Darkness,56.0,56.0,56.0,56.0
A River Runs Through It,55.0,55.0,55.0,55.0
Twin Peaks: Fire Walk with Me,55.0,55.0,55.0,55.0
Of Mice and Men,55.0,55.0,55.0,55.0
Beethoven,77.0,73.0,70.0,56.0
Universal Soldier,77.0,73.0,73.0,56.0
Buffy the Vampire Slayer,77.0,73.0,73.0,56.0
Sleepwalkers,77.0,73.0,76.0,56.0
Chaplin,79.0,76.0,63.0,55.0
The Lover,79.0,76.0,65.0,56.0
Home Alone 2: Lost in New York,77.0,73.0,76.0,56.0
The Hand That Rocks the Cradle,77.0,73.0,76.0,56.0
Newsies,77.0,67.0,76.0,56.0
Malcolm X,79.0,76.0,63.0,55.0
Patriot Games,77.0,73.0,73.0,58.0
Dead Alive,56.0,56.0,56.0,56.0
Poison Ivy,77.0,73.0,76.0,56.0
Sneakers,56.0,56.0,56.0,56.0
The Lawnmower Man,77.0,73.0,76.0,56.0
The Player,56.0,56.0,56.0,56.0
Encino Man,77.0,73.0,76.0,56.0
White Men Can't Jump,77.0,73.0,76.0,56.0
Lethal Weapon 3,77.0,73.0,73.0,56.0
American Me,79.0,76.0,63.0,55.0
El Mariachi,77.0,73.0,73.0,56.0
Bitter Moon,81.0,71.0,69.0,55.0
Pet Sematary II,76.0,76.0,76.0,76.0
Bad Lieutenant,55.0,55.0,55.0,55.0
Singles,77.0,73.0,76.0,56.0
FernGully: The Last Rainforest,77.0,73.0,69.0,46.0
HouseSitter,77.0,73.0,76.0,56.0
School Ties,77.0,73.0,76.0,56.0
Hoffa,79.0,76.0,65.0,56.0
Juice,88.0,72.0,72.0,55.0
Damage,77.0,73.0,76.0,56.0
Man Bites Dog,66.0,73.0,66.0,48.0
3 Ninjas,81.0,73.0,73.0,68.0
Hellraiser III: Hell on Earth,77.0,73.0,76.0,56.0
Body of Evidence,76.0,76.0,76.0,76.0
"Honey, I Blew Up the Kid",76.0,76.0,76.0,76.0
Captain Ron,77.0,73.0,76.0,56.0
The Cutting Edge,77.0,73.0,76.0,56.0
Passenger 57,81.0,73.0,73.0,68.0
"Jamón, Jamón",77.0,73.0,76.0,56.0
Children of the Corn II: the Final Sacrifice,76.0,76.0,76.0,76.0
Ladybugs,77.0,73.0,76.0,56.0
Radio Flyer,57.0,57.0,72.0,55.0
Strictly Ballroom,56.0,56.0,56.0,56.0
Raising Cain,77.0,73.0,76.0,56.0
Orlando,79.0,76.0,63.0,55.0
Gladiator,87.0,73.0,73.0,55.0
Split Second,77.0,73.0,73.0,56.0
Tom and Jerry: The Movie,77.0,73.0,69.0,46.0
Toys,77.0,73.0,76.0,56.0
Romper Stomper,77.0,73.0,76.0,56.0
1492: Conquest of Paradise,77.0,73.0,76.0,56.0
Pure Country,55.0,55.0,55.0,55.0
Boomerang,77.0,73.0,76.0,58.0
The Power of One,55.0,55.0,55.0,55.0
Dr. Giggles,77.0,73.0,76.0,56.0
Sidekicks,77.0,73.0,73.0,56.0
Medicine Man,77.0,73.0,76.0,56.0
Honeymoon in Vegas,77.0,73.0,76.0,56.0
Thunderheart,77.0,73.0,76.0,56.0
Stop! Or My Mom Will Shoot,73.0,76.0,70.0,73.0
Innocent Blood,77.0,73.0,73.0,56.0
Unlawful Entry,77.0,73.0,76.0,56.0
Lorenzo's Oil,79.0,76.0,63.0,55.0
Final Analysis,77.0,73.0,76.0,56.0
One False Move,82.0,69.0,69.0,53.0
Stay Tuned,77.0,73.0,76.0,56.0
Consenting Adults,77.0,73.0,76.0,56.0
Fortress,77.0,73.0,73.0,56.0
Once Upon a Crime...,77.0,73.0,76.0,56.0
Mom and Dad Save the World,77.0,73.0,76.0,56.0
Supercop,77.0,73.0,73.0,56.0
Jennifer 8,77.0,73.0,76.0,56.0
Bébé's Kids,77.0,73.0,69.0,46.0
Memoirs of an Invisible Man,77.0,73.0,76.0,56.0
Peter's Friends,56.0,56.0,56.0,56.0
Freejack,77.0,73.0,73.0,56.0
Como agua para chocolate,82.0,69.0,69.0,53.0
Leap of Faith,77.0,73.0,76.0,56.0
Noises Off...,56.0,56.0,56.0,56.0
Class Act,77.0,73.0,76.0,56.0
Diggstown,55.0,55.0,55.0,55.0
Indochine,55.0,55.0,55.0,55.0
Nemesis,77.0,73.0,73.0,56.0
Kuffs,77.0,73.0,73.0,56.0
Shining Through,77.0,73.0,76.0,56.0
Mo' Money,77.0,73.0,73.0,56.0
Husbands and Wives,56.0,56.0,56.0,56.0
Trespass,77.0,73.0,73.0,56.0
Love Potion No. 9,77.0,73.0,76.0,56.0
Rapid Fire,77.0,73.0,73.0,56.0
Wind,77.0,73.0,73.0,56.0
Hero,78.0,77.0,73.0,51.0
South Central,77.0,73.0,76.0,56.0
The Muppet Christmas Carol,81.0,68.0,68.0,56.0
Un Coeur en Hiver,82.0,69.0,69.0,53.0
Tokyo Decadence,77.0,73.0,76.0,56.0
Mr. Baseball,77.0,73.0,76.0,56.0
Love Crimes,76.0,76.0,76.0,76.0
Naked Killer,77.0,73.0,73.0,56.0
CrissCross,77.0,73.0,76.0,56.0
Waterland,77.0,73.0,76.0,56.0
The Distinguished Gentleman,77.0,73.0,76.0,56.0
White Sands,77.0,73.0,73.0,56.0
Belle Epoque,56.0,56.0,56.0,56.0
Swoon,77.0,73.0,76.0,56.0
Knight Moves,77.0,73.0,76.0,56.0
Light Sleeper,77.0,73.0,76.0,56.0
A Midnight Clear,55.0,55.0,55.0,55.0
Bob Roberts,56.0,56.0,56.0,56.0
Sarafina!,77.0,73.0,76.0,58.0
For a Lost Soldier,55.0,55.0,55.0,55.0
In the Soup,56.0,56.0,56.0,56.0
A Stranger Among Us,77.0,73.0,76.0,56.0
Where the Day Takes You,82.0,73.0,76.0,53.0
Passion Fish,55.0,55.0,55.0,55.0
That Night,77.0,73.0,76.0,56.0
Gas Food Lodging,77.0,73.0,76.0,56.0
American Heart,77.0,73.0,76.0,56.0
The Babe,79.0,76.0,65.0,56.0
La sentinelle,81.0,71.0,76.0,56.0
Christopher Columbus: The Discovery,76.0,76.0,76.0,76.0
Claire of the Moon,77.0,73.0,76.0,56.0
Prelude to a Kiss,82.0,73.0,76.0,53.0
The Best Intentions,79.0,76.0,63.0,55.0
The Public Eye,77.0,73.0,76.0,56.0
Article 99,77.0,73.0,76.0,56.0
The Mambo Kings,77.0,73.0,76.0,56.0
Into the West,55.0,55.0,55.0,55.0
The Playboys,77.0,73.0,76.0,58.0
City of Joy,77.0,73.0,76.0,56.0
Straight Talk,77.0,73.0,76.0,56.0
Qing shao nian nuo zha,86.0,70.0,72.0,60.0
Love Field,82.0,73.0,76.0,53.0
Mr. Saturday Night,77.0,73.0,76.0,56.0
Twin Dragons,77.0,73.0,73.0,56.0
Aces: Iron Eagle III,73.0,76.0,72.0,73.0
The Living End,77.0,73.0,76.0,56.0
Simple Men,82.0,69.0,69.0,53.0
Guncrazy,77.0,73.0,76.0,56.0
Folks!,77.0,73.0,76.0,56.0
Léolo,56.0,56.0,56.0,56.0
Night and the City,82.0,73.0,76.0,53.0
Whispers in the Dark,77.0,73.0,76.0,56.0
Zebrahead,77.0,73.0,76.0,56.0
Hyenas,56.0,56.0,56.0,56.0
A Tale of Winter,57.0,57.0,72.0,55.0
Man Trouble,66.0,76.0,66.0,56.0
Laws of Gravity,77.0,73.0,76.0,56.0
Brain Donors,56.0,56.0,56.0,56.0
Out on a Limb,77.0,73.0,76.0,56.0
Tetsuo II: Body Hammer,77.0,73.0,73.0,56.0
Traces of Red,82.0,73.0,76.0,53.0
Storyville,77.0,73.0,76.0,56.0
Rescue Me,77.0,73.0,73.0,56.0
Map of the Human Heart,55.0,55.0,55.0,55.0
Ruby Cairo,76.0,76.0,76.0,76.0
The Waterdance,77.0,73.0,76.0,56.0
Year of the Comet,77.0,73.0,73.0,56.0
This Is My Life,82.0,73.0,76.0,53.0
Mistress,77.0,73.0,76.0,56.0
Passed Away,77.0,73.0,76.0,56.0
Blame It on the Bellboy,77.0,73.0,76.0,56.0
Leaving Normal,77.0,73.0,76.0,56.0
House of Angels,77.0,73.0,76.0,56.0
The Long Day Closes,81.0,69.0,63.0,55.0
Once Upon a Time in China III,77.0,73.0,73.0,56.0
Shadow of the Wolf,77.0,73.0,76.0,56.0
The Gun in Betty Lou's Handbag,77.0,73.0,76.0,56.0
Tombstone,82.0,73.0,77.0,61.0
The Sandlot,78.0,72.0,78.0,60.0
Jurassic Park,82.0,73.0,77.0,61.0
Dazed and Confused,78.0,72.0,78.0,60.0
Schindler's List,78.0,76.0,73.0,61.0
True Romance,78.0,72.0,78.0,61.0
Naked,78.0,72.0,78.0,60.0
Robin Hood: Men in Tights,78.0,73.0,78.0,61.0
A Bronx Tale,78.0,67.0,78.0,61.0
What's Eating Gilbert Grape,78.0,72.0,78.0,61.0
Hocus Pocus,78.0,73.0,78.0,60.0
Carlito's Way,78.0,72.0,78.0,61.0
Mrs. Doubtfire,78.0,72.0,78.0,60.0
The Fugitive,82.0,73.0,77.0,61.0
Demolition Man,78.0,73.0,77.0,61.0
Dennis the Menace,78.0,73.0,78.0,60.0
Falling Down,82.0,73.0,77.0,61.0
The Pelican Brief,78.0,73.0,78.0,61.0
The Firm,78.0,73.0,78.0,61.0
Last Action Hero,78.0,73.0,77.0,61.0
Sister Act 2: Back in the Habit,78.0,73.0,78.0,60.0
Groundhog Day,78.0,72.0,78.0,60.0
Philadelphia,78.0,72.0,78.0,61.0
Super Mario Bros.,78.0,76.0,78.0,61.0
Sleepless in Seattle,80.0,73.0,78.0,57.0
Cliffhanger,78.0,73.0,77.0,61.0
The Piano,78.0,67.0,78.0,61.0
The Nightmare Before Christmas,78.0,69.0,74.0,55.0
Rookie of the Year,78.0,73.0,78.0,60.0
"Blood In, Blood Out",78.0,72.0,78.0,61.0
In the Name of the Father,78.0,76.0,73.0,61.0
Alive,78.0,76.0,73.0,61.0
Addams Family Values,78.0,73.0,78.0,60.0
Indecent Proposal,78.0,73.0,78.0,59.0
In the Line of Fire,82.0,73.0,77.0,61.0
The Age of Innocence,81.0,71.0,78.0,61.0
Menace II Society,78.0,72.0,78.0,61.0
Gettysburg,78.0,72.0,78.0,61.0
The Three Musketeers,81.0,73.0,80.0,57.0
Homeward Bound: The Incredible Journey,78.0,73.0,78.0,61.0
The Secret Garden,78.0,72.0,78.0,61.0
Free Willy,78.0,73.0,78.0,61.0
RoboCop 3,78.0,76.0,77.0,61.0
The Remains of the Day,78.0,72.0,78.0,61.0
Hard Target,78.0,73.0,77.0,61.0
Fire in the Sky,78.0,76.0,73.0,61.0
Cool Runnings,78.0,72.0,78.0,61.0
Dave,78.0,73.0,78.0,60.0
Kalifornia,78.0,73.0,78.0,59.0
Benny & Joon,78.0,72.0,78.0,60.0
Sliver,78.0,76.0,78.0,61.0
Rudy,78.0,76.0,73.0,57.0
Coneheads,78.0,73.0,78.0,60.0
So I Married an Axe Murderer,78.0,73.0,78.0,60.0
Hot Shots! Part Deux,78.0,73.0,77.0,61.0
Much Ado About Nothing,78.0,72.0,78.0,60.0
The Crush,78.0,73.0,78.0,61.0
Loaded Weapon 1,81.0,73.0,77.0,67.0
This Boy's Life,78.0,76.0,73.0,61.0
Three Colors: Blue,78.0,72.0,78.0,61.0
Grumpy Old Men,78.0,72.0,78.0,60.0
A Perfect World,78.0,72.0,78.0,61.0
Leprechaun,78.0,76.0,78.0,61.0
Malice,78.0,73.0,78.0,61.0
What's Love Got to Do with It,78.0,76.0,73.0,61.0
Short Cuts,78.0,72.0,78.0,60.0
Son in Law,78.0,73.0,78.0,60.0
Striking Distance,78.0,73.0,77.0,61.0
Return of the Living Dead III,78.0,73.0,78.0,61.0
Searching for Bobby Fischer,78.0,76.0,73.0,61.0
Jason Goes to Hell: the Final Friday,78.0,76.0,73.0,61.0
Matinee,78.0,73.0,78.0,60.0
The Good Son,78.0,73.0,73.0,61.0
The Beverly Hillbillies,78.0,76.0,78.0,61.0
Beethoven's 2nd,78.0,76.0,78.0,61.0
Killing Zoe,78.0,73.0,78.0,61.0
Cronos,78.0,73.0,78.0,61.0
Geronimo: An American Legend,78.0,73.0,78.0,61.0
Wayne's World 2,78.0,73.0,78.0,60.0
Point of No Return,78.0,73.0,77.0,61.0
Boxing Helena,78.0,76.0,78.0,61.0
Romeo Is Bleeding,78.0,73.0,78.0,61.0
Rising Sun,78.0,73.0,77.0,61.0
For Love or Money,78.0,73.0,78.0,60.0
Teenage Mutant Ninja Turtles III,78.0,76.0,77.0,61.0
Body Snatchers,78.0,73.0,73.0,61.0
Stalingrad,78.0,72.0,78.0,61.0
Airborne,78.0,73.0,78.0,61.0
The Thing Called Love,78.0,73.0,78.0,60.0
The Vanishing,78.0,73.0,78.0,61.0
The House of the Spirits,78.0,73.0,78.0,61.0
Undercover Blues,78.0,73.0,78.0,60.0
Little Buddha,78.0,73.0,78.0,61.0
Dragon,82.0,73.0,77.0,61.0
Poetic Justice,78.0,73.0,78.0,61.0
The Joy Luck Club,81.0,71.0,78.0,61.0
The Cement Garden,78.0,72.0,78.0,61.0
Untamed Heart,78.0,73.0,78.0,61.0
Batman: Mask of the Phantasm,78.0,69.0,74.0,55.0
Freaked,78.0,73.0,78.0,60.0
Swing Kids,78.0,73.0,78.0,61.0
Heart and Souls,78.0,72.0,78.0,60.0
Needful Things,78.0,73.0,78.0,61.0
Ruby in Paradise,78.0,71.0,74.0,57.0
Six Degrees of Separation,78.0,73.0,78.0,60.0
The Man Without a Face,78.0,73.0,78.0,61.0
Farewell My Concubine,78.0,72.0,78.0,52.0
Sniper,78.0,73.0,77.0,61.0
Judgment Night,78.0,73.0,77.0,61.0
Shadowlands,78.0,76.0,73.0,61.0
Arizona Dream,78.0,72.0,78.0,60.0
Nowhere to Run,78.0,73.0,77.0,61.0
King of the Hill,78.0,72.0,78.0,61.0
Mad Dog and Glory,78.0,73.0,78.0,60.0
We're Back! A Dinosaur's Story,78.0,73.0,74.0,55.0
Red Rock West,78.0,72.0,78.0,61.0
The Program,78.0,73.0,77.0,61.0
Ghost in the Machine,78.0,76.0,78.0,61.0
Fearless,78.0,70.0,77.0,52.0
Manhattan Murder Mystery,78.0,72.0,78.0,60.0
Surf Ninjas,78.0,73.0,73.0,61.0
Weekend at Bernie's II,78.0,76.0,78.0,61.0
Les visiteurs,78.0,72.0,78.0,60.0
The Adventures of Huck Finn,78.0,73.0,78.0,61.0
Made in America,78.0,73.0,78.0,60.0
M. Butterfly,78.0,73.0,78.0,61.0
The Dark Half,78.0,73.0,78.0,61.0
Only the Strong,78.0,73.0,77.0,61.0
My Life,78.0,73.0,78.0,59.0
Mi vida loca,78.0,73.0,78.0,61.0
Look Who's Talking Now,78.0,76.0,78.0,61.0
The Meteor Man,78.0,73.0,77.0,61.0
Fatal Instinct,78.0,73.0,78.0,60.0
CB4,78.0,73.0,78.0,60.0
Calendar Girl,78.0,73.0,78.0,60.0
Heaven & Earth,78.0,73.0,77.0,61.0
Indian Summer,78.0,73.0,78.0,60.0
Once Upon a Forest,78.0,73.0,74.0,55.0
Posse,78.0,73.0,78.0,61.0
Flesh and Bone,78.0,73.0,78.0,61.0
Sommersby,78.0,73.0,74.0,57.0
Even Cowgirls Get the Blues,78.0,76.0,78.0,61.0
Life with Mikey,78.0,73.0,78.0,60.0
Best of the Best II,78.0,73.0,77.0,61.0
The Thief and the Cobbler,78.0,69.0,74.0,55.0
My Boyfriend's Back,80.0,68.0,78.0,60.0
Warlock: The Armageddon,78.0,73.0,77.0,61.0
The Scent of Green Papaya,78.0,72.0,78.0,61.0
Kika,78.0,73.0,74.0,57.0
Wide Sargasso Sea,78.0,73.0,78.0,61.0
Iron Monkey,81.0,68.0,77.0,61.0
Mr. Nanny,81.0,76.0,77.0,67.0
The Real McCoy,80.0,73.0,78.0,57.0
3 Ninjas: Knuckle Up,80.0,69.0,77.0,61.0
Father Hood,78.0,76.0,78.0,61.0
"Faraway, So Close!",78.0,72.0,78.0,61.0
Dangerous Game,78.0,73.0,78.0,61.0
Deadfall,78.0,76.0,78.0,61.0
A Home of Our Own,78.0,76.0,73.0,61.0
A Far Off Place,78.0,73.0,78.0,61.0
Guilty as Sin,78.0,73.0,78.0,61.0
The Wedding Banquet,86.0,70.0,78.0,60.0
Another Stakeout,78.0,73.0,78.0,60.0
Aspen Extreme,78.0,73.0,78.0,61.0
Suture,78.0,73.0,78.0,61.0
Blink,78.0,73.0,78.0,61.0
Where the Rivers Flow North,78.0,73.0,78.0,61.0
Sugar Hill,78.0,73.0,78.0,61.0
Man's Best Friend,78.0,73.0,73.0,60.0
Mr. Jones,78.0,73.0,74.0,57.0
Carnosaur,78.0,76.0,78.0,61.0
Mr. Wonderful,78.0,73.0,78.0,60.0
Cop & ½,78.0,76.0,78.0,61.0
Madadayo,78.0,72.0,78.0,61.0
Caro diario,78.0,76.0,73.0,61.0
Jack the Bear,78.0,73.0,78.0,60.0
Money for Nothing,78.0,73.0,78.0,60.0
Naked in New York,78.0,73.0,78.0,60.0
Son of the Pink Panther,78.0,76.0,78.0,61.0
Jung on zo,78.0,73.0,77.0,61.0
Totally F***ed Up,78.0,73.0,78.0,60.0
"Bodies, Rest & Motion",78.0,73.0,78.0,61.0
House of Cards,78.0,73.0,78.0,61.0
Bhaji on the Beach,78.0,73.0,78.0,60.0
Silent Tongue,78.0,73.0,78.0,61.0
Amos & Andrew,78.0,73.0,78.0,60.0
Splitting Heirs,78.0,73.0,73.0,60.0
Born Yesterday,78.0,73.0,78.0,60.0
Mother's Boys,78.0,73.0,78.0,61.0
The Nutcracker,78.0,73.0,78.0,61.0
Philadelphia Experiment II,78.0,76.0,77.0,61.0
Blue,78.0,76.0,73.0,61.0
Fear of a Black Hat,78.0,72.0,78.0,60.0
Ed and His Dead Mother,78.0,73.0,78.0,60.0
A Dangerous Woman,78.0,73.0,78.0,61.0
Josh and S.A.M.,78.0,73.0,78.0,61.0
Ethan Frome,78.0,73.0,78.0,61.0
The Night We Never Met,78.0,73.0,78.0,60.0
The Shawshank Redemption,84.0,67.0,82.0,56.0
Pulp Fiction,55.0,55.0,55.0,55.0
Forrest Gump,55.0,55.0,55.0,55.0
Léon: The Professional,88.0,72.0,72.0,55.0
True Lies,88.0,72.0,72.0,55.0
The Lion King,77.0,73.0,69.0,47.0
The Mask,77.0,73.0,73.0,56.0
Speed,88.0,72.0,72.0,55.0
Stargate,88.0,72.0,72.0,55.0
The Little Rascals,77.0,73.0,76.0,56.0
Dumb and Dumber,56.0,56.0,56.0,56.0
